Mean HR,Minimum HR,Maximum HR,Mean SBP,Minimum SBP,Maximum SBP,Mean DBP,Minimum DBP,Maximum DBP,Mean MAP,Minimum MAP,Maximum MAP,Mean RR,Minimum RR,Maximum RR,Mean Temperature,Minimum Temperature,Maximum Temperature,Mean PO2,Minimum PO2,Mean PCO2,Minimum PCO2,Maximum PCO2,Mean FiO2,Minimum FiO2,Maximum FiO2,Mean Base Excess,Minimum Base Excess,Maximum Base Excess,Mean RBC,Maximum Hemoglobin,Mean RDW,Mean MCH,Mean MCV,Mean MCHC,Mean Platelet,Mean WBC,Mean Basophils,Minimum Basophils,Maximum Basophils,Mean Eosinophils,Minimum Eosinophils,Mean Lymphocytes,Mean Monocytes,Maximum Monocytes,Minimum Neutrophils,Mean Albumin,Minimum Albumin,Maximum Albumin,Mean AG,Mean BUN,Mean Calcium,Mean Chloride,Mean Sodium,Mean Potassium,Mean Glucose,Minimum Glucose,Mean Creatinine,Mean INR,Mean PTT,Minimum PTT
0.036608541,0.032096991,0.010537332,0.016951246,0.011110562,0.021305717,0.020758435,0.00354113,0.009981911,0.0157267,0.003573722,0.005766329,0.037222837,0.001756139,0.006465057,0.01356342,0.023904183,0.002166281,0.011179495,0.003057033,0.008028575,0.014167722,0.004900221,0.015161705,0.008003164,0.009339395,0.001763491,0.001832858,0.00162288,0.002981315,0.011816467,0.043824269,0.003298845,0.020555827,0.008021497,0.012120637,0.025112432,0.000414996,0.000283631,0.00017319,0.006317104,0.002251087,0.00520388,0.001288839,0.00516713,0.002566182,0.010642655,0.009435071,0.010136646,0.036515943,0.021824137,0.002958373,0.002697031,0.004823359,0.00458741,0.007006471,0.015962633,0.024111184,0.013913083,0.005845117,0.005009753
0.034982654,0.030072162,0.01056683,0.016915911,0.011765657,0.02270193,0.020614718,0.003867483,0.010002151,0.015892254,0.003720694,0.005898425,0.034209198,0.001746344,0.006314703,0.013196105,0.023940982,0.002107258,0.011939929,0.003607992,0.007735389,0.014106853,0.004063302,0.015172643,0.008376883,0.008758499,0.002145304,0.002111936,0.001952469,0.00286574,0.011414733,0.044550665,0.003413814,0.021544265,0.007409773,0.011710222,0.022098875,0.000401349,0.000281556,0.000170231,0.005992138,0.002182897,0.004990251,0.001293076,0.005146976,0.002271125,0.010349378,0.009227656,0.009875132,0.037603803,0.021948222,0.002919555,0.002565188,0.004934833,0.004588716,0.006462683,0.014643906,0.023819573,0.014069919,0.00685892,0.005649672
0.034946,0.032079084,0.010937534,0.016330565,0.011011111,0.022255431,0.020710346,0.003738976,0.010513748,0.016315044,0.003473054,0.005657299,0.034766245,0.00167332,0.006192214,0.013227645,0.023996322,0.002008826,0.01083167,0.003551672,0.008074699,0.014501114,0.004567723,0.014920093,0.00805434,0.009273373,0.001582252,0.001778167,0.001437211,0.002869616,0.011680945,0.044734761,0.00342825,0.02200113,0.007693181,0.011976057,0.023696995,0.000414492,0.000263815,0.0001775,0.006017374,0.002166805,0.005131875,0.001387961,0.005373,0.002374635,0.010404303,0.009241867,0.009978734,0.036053851,0.021878386,0.002938626,0.002823358,0.005115215,0.004547439,0.006483945,0.014711634,0.023750548,0.013725156,0.006478699,0.004984937
0.035303015,0.031866345,0.010975847,0.016892677,0.011837973,0.02263123,0.020214121,0.003726097,0.009880054,0.016418623,0.003809513,0.005621548,0.035885092,0.001723491,0.006639517,0.013240318,0.023611791,0.00209605,0.009998262,0.003372911,0.008075874,0.014203489,0.004892907,0.01515137,0.008061774,0.009157866,0.001997489,0.002039032,0.001636106,0.00290403,0.011932772,0.044200032,0.003671664,0.022356795,0.007754296,0.01177598,0.023438861,0.000414262,0.000276985,0.000174751,0.005991163,0.002154845,0.004906523,0.001300846,0.005208622,0.002635782,0.010293451,0.0091062,0.009985691,0.034698005,0.021389942,0.002884118,0.002543376,0.0047318,0.00461917,0.005862825,0.014474497,0.02436959,0.014154969,0.006289653,0.005280681
0.033561086,0.029569848,0.010362498,0.017064444,0.012278943,0.022176888,0.021563296,0.003619937,0.00921507,0.016987218,0.003829782,0.00543012,0.037335868,0.001863667,0.00659272,0.013102363,0.023593426,0.002077429,0.011291856,0.00370783,0.008465119,0.014296551,0.00454483,0.014577062,0.008001251,0.009102416,0.001874209,0.001954742,0.001789809,0.002856014,0.011536078,0.045778505,0.003542666,0.021626935,0.007982984,0.011556199,0.024536445,0.000415298,0.00027512,0.000179875,0.006043666,0.002182943,0.005275039,0.00134721,0.005337021,0.00276722,0.010245372,0.009229349,0.010084557,0.036241025,0.021013702,0.002940447,0.00253466,0.004556927,0.004580362,0.006253751,0.014534559,0.023583352,0.014097454,0.006518852,0.005693259
0.033583539,0.031655705,0.010702755,0.017363198,0.011511548,0.022755028,0.021183219,0.00376927,0.010034428,0.016235727,0.003757802,0.00545743,0.037006919,0.001809748,0.00685767,0.013485855,0.024354124,0.002114689,0.010359585,0.003411162,0.007994432,0.01502921,0.00459186,0.015030493,0.008189373,0.00907046,0.002034922,0.002139445,0.001793225,0.002961554,0.011963948,0.046396656,0.003534673,0.022052314,0.008111048,0.012217579,0.023305132,0.000401041,0.000292434,0.000172572,0.006333752,0.002252651,0.004925402,0.00147308,0.005563123,0.00240108,0.01041214,0.009290669,0.010061505,0.037543228,0.020440724,0.002957835,0.00272489,0.004719341,0.004676367,0.006192063,0.015437898,0.024107419,0.014169971,0.006874242,0.005068707
0.035045142,0.031274465,0.011253553,0.016629399,0.011073183,0.023294808,0.020786765,0.003815939,0.011038294,0.016609431,0.003584776,0.005755454,0.035919813,0.001768619,0.006719376,0.013383123,0.024138176,0.002124602,0.011131959,0.003721125,0.007955612,0.014810947,0.004513713,0.015121162,0.008638089,0.008982254,0.001829487,0.001944151,0.001572503,0.002975099,0.011853779,0.046251996,0.003396042,0.019954158,0.007787834,0.013070009,0.023789753,0.000400121,0.000294625,0.00016858,0.006165582,0.00217773,0.005847931,0.001379758,0.005369694,0.002549418,0.010615906,0.00954597,0.010105064,0.036573058,0.020570543,0.003002695,0.00272975,0.004764692,0.004691046,0.006430822,0.015319794,0.023952115,0.014391878,0.006108754,0.005259479
0.034125834,0.031020283,0.010974102,0.016861683,0.011898161,0.022285183,0.020775255,0.003884896,0.010118816,0.015894725,0.00382857,0.005465523,0.034009161,0.001823348,0.005947524,0.013514769,0.024359534,0.00216075,0.012135182,0.004106015,0.007869186,0.01449378,0.004499621,0.014435273,0.00848033,0.008811035,0.001876264,0.001958694,0.001630229,0.002924298,0.011676195,0.043232752,0.003376684,0.020659217,0.008034163,0.012489966,0.023975938,0.000397395,0.000293278,0.000172397,0.005965024,0.002169114,0.005707876,0.00140149,0.005260483,0.002633779,0.01042197,0.009289903,0.010168226,0.036745591,0.02239061,0.002964985,0.00281107,0.004827578,0.004662859,0.006173617,0.014664282,0.024182406,0.014081245,0.006814494,0.005101871
0.035499747,0.032129004,0.010841223,0.017302604,0.011865241,0.023024544,0.020824759,0.003758507,0.01002675,0.016400577,0.003692943,0.005728339,0.035538128,0.001882436,0.00687772,0.013267099,0.023837919,0.002141227,0.009877444,0.003363526,0.008554328,0.014062177,0.005121154,0.014851554,0.0085136,0.008960253,0.001832321,0.001897423,0.001684496,0.002911028,0.012023729,0.041678138,0.003557029,0.021869993,0.008048512,0.011664155,0.022577918,0.000404626,0.000280973,0.000170111,0.006089563,0.002183442,0.005220327,0.001323943,0.005388282,0.002463542,0.010404251,0.009315619,0.009981855,0.036469281,0.021845954,0.002931018,0.002402156,0.004564382,0.004610239,0.005730714,0.013545692,0.024813627,0.013749166,0.006537821,0.005281067
0.033855393,0.030177001,0.010844723,0.016449294,0.011629868,0.022279597,0.019834195,0.003643886,0.009545045,0.015805308,0.003719216,0.005479568,0.03496409,0.001772407,0.006342655,0.013378144,0.024331937,0.002103555,0.010807671,0.003659806,0.008128148,0.014550036,0.005010515,0.015340017,0.007773481,0.009145479,0.001907217,0.002087943,0.001647003,0.0029226,0.011611597,0.044818566,0.003532107,0.021231584,0.007544719,0.011783075,0.024771914,0.000413533,0.000280911,0.000176366,0.006139291,0.002168395,0.005259455,0.001315724,0.005381071,0.002519728,0.010589837,0.009463632,0.010193207,0.03785773,0.022053115,0.002888012,0.002816061,0.004939091,0.004600248,0.006191364,0.015563377,0.024775576,0.014009681,0.007113274,0.005326393
0.035823138,0.030938389,0.011547941,0.01586,0.010951608,0.023269261,0.021081492,0.003732478,0.009994166,0.016211333,0.003547794,0.005616479,0.037578002,0.001780012,0.006884324,0.013349153,0.024285779,0.002148801,0.010950942,0.003542188,0.007948993,0.014546131,0.004605148,0.015501078,0.007653335,0.009298611,0.001866114,0.00207709,0.001612415,0.002939344,0.012095564,0.04392934,0.003565533,0.022192309,0.007921835,0.012118939,0.023479366,0.000416089,0.000271287,0.000175594,0.006041785,0.00216392,0.005679702,0.001386365,0.005425479,0.002656694,0.010460367,0.009396103,0.010080804,0.036666706,0.020287329,0.002952191,0.002639054,0.00506282,0.004582529,0.006521249,0.014643458,0.023335466,0.013879979,0.006275168,0.004870681
0.034807374,0.031304528,0.011149609,0.016703179,0.011848877,0.023251161,0.020496331,0.003952786,0.010278538,0.016708617,0.003947133,0.005639254,0.037408403,0.001687547,0.006333638,0.013250193,0.024209694,0.002055959,0.010292508,0.00327796,0.007599902,0.014164483,0.004529749,0.013637619,0.008127953,0.008935705,0.001886148,0.001945557,0.001615992,0.002984163,0.011729386,0.044238266,0.003425334,0.020588731,0.007860564,0.01148068,0.023198529,0.000405647,0.000289746,0.000168668,0.005975647,0.002151777,0.005058303,0.001386301,0.005252456,0.002167716,0.010322291,0.009114313,0.010016853,0.035806432,0.022453312,0.002909927,0.002959592,0.005186802,0.004619551,0.006820912,0.015934654,0.024008939,0.013924085,0.006476907,0.005111484
